# 5697b9b4-b22f-472a-9f7f-0875f24a29a2
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
22.3034043; -33.0095993; 0.9666797; 1.0443203; 0.8767134; 0.4810132; -0.8297828; 0.0000000; 0.5597589; -0.0275055; 11.2369484; 2.7678675
22.1576532; -32.7480396; 1.0258145; 1.0435855; 0.8703380; 0.4924549; -0.8435855; 0.2887996; 0.5548428; -0.0215930; 11.2860989; 2.7456679
22.0085840; -32.4884870; 1.0057128; 1.0717916; 0.8639650; 0.5035519; -0.8520662; 0.5773897; 0.5485704; -0.0099230; 11.3825965; 2.7018014
21.8562777; -32.2308954; 0.9543803; 1.0615104; 0.8576079; 0.5143040; -0.8560155; 0.8659993; 0.5471347; -0.0044352; 11.4299650; 2.6801317
21.7008154; -31.9752189; 1.0275135; 1.0561689; 0.8512796; 0.5247123; -0.8561689; 1.1548019; 0.5472970; 0.0042849; 11.5229927; 2.6373123
21.5422781; -31.7214115; 1.0172771; 1.0715547; 0.8449924; 0.5347783; -0.8531123; 1.4439278; 0.5482563; 0.0053075; 11.5686717; 2.6161598
21.3807470; -31.4694272; 0.9978979; 1.0715021; 0.8387581; 0.5445042; -0.8471065; 1.7334824; 0.5505092; 0.0057919; 11.6584072; 2.5743624
21.2163030; -31.2192201; 0.9963384; 1.0752180; 0.8325881; 0.5538926; -0.8382685; 2.0235582; 0.5516837; 0.0059520; 11.7024820; 2.5537149
21.0490272; -30.9707441; 0.9987642; 1.0908417; 0.8264931; 0.5629469; -0.8266989; 2.3142375; 0.5541330; 0.0063018; 11.7890895; 2.5129151
20.8790007; -30.7239532; 0.9963282; 1.0876994; 0.8204832; 0.5716706; -0.8124996; 2.6055920; 0.5554119; 0.0064830; 11.8316390; 2.4927604
20.7063046; -30.4788015; 0.9994288; 1.0832252; 0.8145682; 0.5800678; -0.7957736; 2.8976835; 0.5567266; 0.0066702; 11.8736966; 2.4727673
20.5310199; -30.2352430; 1.0118223; 1.0828550; 0.8087571; 0.5881427; -0.7766252; 3.1905638; 0.5594695; 0.0070434; 11.9563676; 2.4332608
20.3532276; -29.9932316; 1.0109984; 1.0640016; 0.8030586; 0.5959001; -0.7551593; 3.4842758; 0.5608961; 0.0072292; 11.9969962; 2.4137450
20.1730089; -29.7527214; 1.0211343; 1.0499433; 0.7974805; 0.6033447; -0.7314817; 3.7788529; 0.5638606; 0.0075907; 12.0768766; 2.3751815
